title,brand,category,price,rating,stock,price_bin
Pan,,kitchen-accessories,24.99,2.79,90,2
Plate,,kitchen-accessories,3.99,3.65,66,0
Red Tongs,,kitchen-accessories,6.99,4.42,82,0
Silver Pot With Glass Cap,,kitchen-accessories,39.99,3.22,40,2
Slotted Turner,,kitchen-accessories,8.99,3.4,88,0
Spice Rack,,kitchen-accessories,19.99,4.87,79,1
Spoon,,kitchen-accessories,4.99,4.03,59,0
Tray,,kitchen-accessories,16.99,4.62,71,1
Wooden Rolling Pin,,kitchen-accessories,11.99,2.92,80,1
Yellow Peeler,,kitchen-accessories,5.99,4.24,35,0
Apple MacBook Pro 14 Inch Space Grey,Apple,laptops,1999.99,3.65,24,4
Asus Zenbook Pro Dual Screen Laptop,Asus,laptops,1799.99,3.95,45,4
Huawei Matebook X Pro,Huawei,laptops,1399.99,4.98,75,4
Lenovo Yoga 920,Lenovo,laptops,1099.99,2.86,40,4
New DELL XPS 13 9300 Laptop,Dell,laptops,1499.99,2.67,74,4
Blue & Black Check Shirt,Fashion Trends,mens-shirts,29.99,3.64,38,2
Gigabyte Aorus Men Tshirt,Gigabyte,mens-shirts,24.99,3.18,90,2
Man Plaid Shirt,Classic Wear,mens-shirts,34.99,3.46,82,2
Man Short Sleeve Shirt,Casual Comfort,mens-shirts,19.99,2.9,2,1
Men Check Shirt,Urban Chic,mens-shirts,27.99,2.72,95,2
Nike Air Jordan 1 Red And Black,Nike,mens-shoes,149.99,4.77,7,3
Nike Baseball Cleats,Nike,mens-shoes,79.99,3.88,12,3
Puma Future Rider Trainers,Puma,mens-shoes,89.99,4.9,90,3
Sports Sneakers Off White & Red,Off White,mens-shoes,119.99,4.77,17,3
Sports Sneakers Off White Red,Off White,mens-shoes,109.99,4.69,62,3
Brown Leather Belt Watch,Fashion Timepieces,mens-watches,89.99,4.19,32,3
Longines Master Collection,Longines,mens-watches,1499.99,3.87,100,4
Rolex Cellini Date Black Dial,Rolex,mens-watches,8999.99,4.97,40,4
Rolex Cellini Moonphase,Rolex,mens-watches,12999.99,2.58,36,4
Rolex Datejust,Rolex,mens-watches,10999.99,3.66,86,4
Rolex Submariner Watch,Rolex,mens-watches,13999.99,2.69,55,4
Amazon Echo Plus,Amazon,mobile-accessories,99.99,4.99,61,3
Apple Airpods,Apple,mobile-accessories,129.99,4.15,67,3
Apple AirPods Max Silver,Apple,mobile-accessories,549.99,3.47,59,4
Apple Airpower Wireless Charger,Apple,mobile-accessories,79.99,3.68,1,3
Apple HomePod Mini Cosmic Grey,Apple,mobile-accessories,99.99,4.62,27,3
Apple iPhone Charger,Apple,mobile-accessories,19.99,4.15,31,1
Apple MagSafe Battery Pack,Apple,mobile-accessories,99.99,3.62,1,3
Apple Watch Series 4 Gold,Apple,mobile-accessories,349.99,2.74,33,3
Beats Flex Wireless Earphones,Beats,mobile-accessories,49.99,4.24,50,2
iPhone 12 Silicone Case with MagSafe Plum,Apple,mobile-accessories,29.99,3.62,69,2
Monopod,TechGear,mobile-accessories,19.99,4.43,48,1
Selfie Lamp with iPhone,GadgetMaster,mobile-accessories,14.99,3.55,58,1
Selfie Stick Monopod,SnapTech,mobile-accessories,12.99,3.88,11,1
TV Studio Camera Pedestal,ProVision,mobile-accessories,499.99,2.78,15,4
Generic Motorcycle,Generic Motors,motorcycle,3999.99,4.91,34,4
Kawasaki Z800,Kawasaki,motorcycle,8999.99,3.98,52,4
MotoGP CI.H1,MotoGP,motorcycle,14999.99,2.97,10,4
Scooter Motorcycle,ScootMaster,motorcycle,2999.99,2.53,84,4
Sportbike Motorcycle,SpeedMaster,motorcycle,7499.99,3.94,0,4
Attitude Super Leaves Hand Soap,Attitude,skin-care,8.99,3.19,94,0
Olay Ultra Moisture Shea Butter Body Wash,Olay,skin-care,12.99,4.51,34,1
Vaseline Men Body and Face Lotion,Vaseline,skin-care,9.99,3.16,95,1
iPhone 5s,Apple,smartphones,199.99,2.83,25,3
iPhone 6,Apple,smartphones,299.99,3.41,60,3
iPhone 13 Pro,Apple,smartphones,1099.99,4.12,56,4
iPhone X,Apple,smartphones,899.99,2.51,37,4
Oppo A57,Oppo,smartphones,249.99,3.94,19,3
Oppo F19 Pro Plus,Oppo,smartphones,399.99,3.51,78,4
Oppo K1,Oppo,smartphones,299.99,4.25,55,3
Realme C35,Realme,smartphones,149.99,4.2,48,3
Realme X,Realme,smartphones,299.99,3.7,12,3
Realme XT,Realme,smartphones,349.99,4.58,80,3
Samsung Galaxy S7,Samsung,smartphones,299.99,3.3,67,3
Samsung Galaxy S8,Samsung,smartphones,499.99,4.4,0,4
Samsung Galaxy S10,Samsung,smartphones,699.99,3.06,19,4
Vivo S1,Vivo,smartphones,249.99,3.5,50,3
Vivo V9,Vivo,smartphones,299.99,3.6,82,3
Vivo X21,Vivo,smartphones,499.99,4.26,7,4
American Football,,sports-accessories,19.99,4.91,53,1
Baseball Ball,,sports-accessories,8.99,2.57,100,0
Baseball Glove,,sports-accessories,24.99,3.96,22,2
Basketball,,sports-accessories,14.99,4.66,75,1
Basketball Rim,,sports-accessories,39.99,4.6,43,2
Cricket Ball,,sports-accessories,12.99,3.53,30,1
Cricket Bat,,sports-accessories,29.99,3.17,98,2
Cricket Helmet,,sports-accessories,44.99,4.69,10,2
Cricket Wicket,,sports-accessories,29.99,4.73,25,2
Feather Shuttlecock,,sports-accessories,5.99,2.85,95,0
Football,,sports-accessories,17.99,3.28,96,1
Golf Ball,,sports-accessories,9.99,4.3,84,1
Iron Golf,,sports-accessories,49.99,4.41,90,2
Metal Baseball Bat,,sports-accessories,29.99,4.66,16,2
Tennis Ball,,sports-accessories,6.99,4.06,28,0
Tennis Racket,,sports-accessories,49.99,4.03,6,2
Volleyball,,sports-accessories,11.99,3.84,0,1
Black Sun Glasses,Fashion Shades,sunglasses,29.99,4.41,60,2
Classic Sun Glasses,Fashion Shades,sunglasses,24.99,3.86,1,2
Green and Black Glasses,Fashion Shades,sunglasses,34.99,4.55,24,2
Party Glasses,Fashion Fun,sunglasses,19.99,2.79,86,1
Sunglasses,Fashion Shades,sunglasses,22.99,3.02,27,1
iPad Mini 2021 Starlight,Apple,tablets,499.99,3.18,47,4
Samsung Galaxy Tab S8 Plus Grey,Samsung,tablets,599.99,4.68,62,4
Samsung Galaxy Tab White,Samsung,tablets,349.99,3.72,92,3
Blue Frock,,tops,29.99,4.17,52,2
Girl Summer Dress,,tops,19.99,4.77,43,1
Gray Dress,,tops,34.99,2.72,55,2
Short Frock,,tops,24.99,3.23,22,2
Tartan Dress,,tops,39.99,4.05,73,2
300 Touring,Chrysler,vehicle,28999.99,4.05,54,4
Charger SXT RWD,Dodge,vehicle,32999.99,2.58,57,4
Dodge Hornet GT Plus,Dodge,vehicle,24999.99,2.65,82,4
Durango SXT RWD,Dodge,vehicle,36999.99,4.07,95,4
Pacifica Touring,Chrysler,vehicle,31999.99,3.62,53,4
Blue Women's Handbag,Fashionista,womens-bags,49.99,2.92,76,2
Heshe Women's Leather Bag,Heshe,womens-bags,129.99,4.92,99,3
Prada Women Bag,Prada,womens-bags,599.99,2.71,75,4
White Faux Leather Backpack,Urban Chic,womens-bags,39.99,3.36,39,2
Women Handbag Black,Elegance Collection,womens-bags,59.99,2.89,11,3
Black Women's Gown,,womens-dresses,129.99,3.64,25,3
Corset Leather With Skirt,,womens-dresses,89.99,3.05,30,3
Corset With Black Skirt,,womens-dresses,79.99,4.52,33,3
Dress Pea,,womens-dresses,49.99,4.88,6,2
Marni Red & Black Suit,,womens-dresses,179.99,4.48,62,3
Green Crystal Earring,,womens-jewellery,29.99,3.96,54,2
Green Oval Earring,,womens-jewellery,24.99,3.57,73,2
Tropical Earring,,womens-jewellery,19.99,4.4,1,1
Black & Brown Slipper,Comfort Trends,womens-shoes,19.99,2.53,3,1
Calvin Klein Heel Shoes,Calvin Klein,womens-shoes,79.99,4.92,93,3
Golden Shoes Woman,Fashion Diva,womens-shoes,49.99,3.26,88,2
Pampi Shoes,Pampi,womens-shoes,29.99,3.05,49,2
Red Shoes,Fashion Express,womens-shoes,34.99,3.25,7,2
IWC Ingenieur Automatic Steel,IWC,womens-watches,4999.99,2.93,90,4
Rolex Cellini Moonphase,Rolex,womens-watches,15999.99,3.83,52,4
Rolex Datejust Women,Rolex,womens-watches,10999.99,2.86,4,4
Watch Gold for Women,Fashion Gold,womens-watches,799.99,4.24,0,4
Women's Wrist Watch,Fashion Co.,womens-watches,129.99,3.52,12,3
