title,brand,category,rating,stock
Chopping Board,,kitchen-accessories,3.7,14
Short Frock,,tops,3.23,22
Realme C35,Realme,smartphones,4.2,48
Black Aluminium Cup,,kitchen-accessories,4.46,75
Tennis Racket,,sports-accessories,4.03,6
Asus Zenbook Pro Dual Screen Laptop,Asus,laptops,3.95,45
Beef Steak,,groceries,4.47,86
Essence Mascara Lash Princess,Essence,beauty,2.56,99
Samsung Galaxy S8,Samsung,smartphones,4.4,0
Dress Pea,,womens-dresses,4.88,6
MotoGP CI.H1,MotoGP,motorcycle,2.97,10
Bedside Table African Cherry,Furniture Co.,furniture,2.87,64
Vivo V9,Vivo,smartphones,3.6,82
Green and Black Glasses,Fashion Shades,sunglasses,4.55,24
Cricket Wicket,,sports-accessories,4.73,25
Spoon,,kitchen-accessories,4.03,59
Black Whisk,,kitchen-accessories,3.9,73
Oppo A57,Oppo,smartphones,3.94,19
Red Nail Polish,Nail Couture,beauty,4.32,79
Honey Jar,,groceries,3.97,34
Black Sun Glasses,Fashion Shades,sunglasses,4.41,60
Calvin Klein CK One,Calvin Klein,fragrances,4.37,29
Oppo K1,Oppo,smartphones,4.25,55
iPhone 13 Pro,Apple,smartphones,4.12,56
Cricket Bat,,sports-accessories,3.17,98
Decoration Swing,,home-decoration,3.16,47
Red Tongs,,kitchen-accessories,4.42,82
Apple Airpods,Apple,mobile-accessories,4.15,67
Egg Slicer,,kitchen-accessories,3.09,40
Red Shoes,Fashion Express,womens-shoes,3.25,7
Blue & Black Check Shirt,Fashion Trends,mens-shirts,3.64,38
Gucci Bloom Eau de,Gucci,fragrances,2.74,91
Samsung Galaxy S7,Samsung,smartphones,3.3,67
Silver Pot With Glass Cap,,kitchen-accessories,3.22,40
Apple,,groceries,4.19,8
Monopod,TechGear,mobile-accessories,4.43,48
Heshe Women's Leather Bag,Heshe,womens-bags,4.92,99
Baseball Glove,,sports-accessories,3.96,22
Party Glasses,Fashion Fun,sunglasses,2.79,86
Charger SXT RWD,Dodge,vehicle,2.58,57
Rolex Cellini Moonphase,Rolex,womens-watches,3.83,52
Apple MacBook Pro 14 Inch Space Grey,Apple,laptops,3.65,24
Basketball Rim,,sports-accessories,4.6,43
Powder Canister,Velvet Touch,beauty,4.64,89
Rolex Cellini Moonphase,Rolex,mens-watches,2.58,36
Milk,,groceries,2.61,27
Durango SXT RWD,Dodge,vehicle,4.07,95
Iron Golf,,sports-accessories,4.41,90
Scooter Motorcycle,ScootMaster,motorcycle,2.53,84
Realme XT,Realme,smartphones,4.58,80
Longines Master Collection,Longines,mens-watches,3.87,100
Pacifica Touring,Chrysler,vehicle,3.62,53
TV Studio Camera Pedestal,ProVision,mobile-accessories,2.78,15
Golf Ball,,sports-accessories,4.3,84
Lemon,,groceries,3.53,31
Mug Tree Stand,,kitchen-accessories,2.64,88
Eyeshadow Palette with Mirror,Glamour Beauty,beauty,2.86,34
Women's Wrist Watch,Fashion Co.,womens-watches,3.52,12
Dior J'adore,Dior,fragrances,3.8,98
Corset With Black Skirt,,womens-dresses,4.52,33
Knife,,kitchen-accessories,3.26,7
Annibale Colombo Sofa,Annibale Colombo,furniture,3.92,60
